Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Label
1/2/2014,2014,1,2,Thursday,0,2014-00,15.69,16.16,15.68,16.1,148709900,14.6,0,14.6,14.6,undefined
1/3/2014,2014,1,3,Friday,0,2014-00,16.27,16.5,16.23,16.41,129921800,14.88,0.019254443,14.74,14.74,undefined
1/6/2014,2014,1,6,Monday,1,2014-01,16.63,16.73,16.56,16.66,114431300,15.11,0.015234766,14.86333333,14.86333333,undefined
1/7/2014,2014,1,7,Tuesday,1,2014-01,16.77,16.79,16.45,16.5,110605100,14.96,-0.009604114,14.8875,14.8875,undefined
1/8/2014,2014,1,8,Wednesday,1,2014-01,16.67,16.69,16.52,16.58,101036400,15.04,0.004848624,14.918,14.918,undefined
1/9/2014,2014,1,9,Thursday,1,2014-01,16.67,16.93,16.61,16.83,100947200,15.26,0.015078242,14.975,14.975,undefined
1/10/2014,2014,1,10,Friday,1,2014-01,16.75,16.79,16.61,16.77,87454100,15.21,-0.003565024,15.00857143,15.00857143,undefined
1/13/2014,2014,1,13,Monday,2,2014-02,16.79,16.8,16.4,16.43,90025400,14.9,-0.020274142,14.995,14.995,undefined
1/14/2014,2014,1,14,Tuesday,2,2014-02,16.54,16.77,16.53,16.77,97786600,15.21,0.020693689,15.01888889,15.01888889,undefined
1/15/2014,2014,1,15,Wednesday,2,2014-02,17.23,17.42,17.11,17.15,329333100,15.55,0.022660018,15.072,15.072,undefined
1/16/2014,2014,1,16,Thursday,2,2014-02,17.09,17.14,16.99,17.08,163613100,15.49,-0.004081954,15.11,15.11,undefined
1/17/2014,2014,1,17,Friday,2,2014-02,17.2,17.22,16.99,17.01,96232200,15.43,-0.004098562,15.13666667,15.13666667,undefined
1/21/2014,2014,1,21,Tuesday,3,2014-03,17.08,17.16,16.87,17.01,118269200,15.43,0,15.15923077,15.15923077,undefined
1/22/2014,2014,1,22,Wednesday,3,2014-03,17.08,17.15,17,17.15,68114400,15.55,0.008230982,15.18714286,15.18714286,undefined
1/23/2014,2014,1,23,Thursday,3,2014-03,17.07,17.09,16.74,16.86,123765900,15.29,-0.01690992,15.23642857,15.194,undefined
1/24/2014,2014,1,24,Friday,3,2014-03,16.67,16.72,16.45,16.45,112899300,14.92,-0.024318018,15.23928571,15.176875,undefined
1/27/2014,2014,1,27,Monday,4,2014-04,16.37,16.54,16.06,16.31,134872600,14.79,-0.008510609,15.21642857,15.15411765,undefined
1/28/2014,2014,1,28,Tuesday,4,2014-04,16.45,16.76,16.37,16.73,92891300,15.17,0.025750984,15.23142857,15.155,undefined
1/29/2014,2014,1,29,Wednesday,4,2014-04,16.55,16.85,16.49,16.68,130026900,15.13,-0.002988422,15.23785714,15.15368421,undefined
1/30/2014,2014,1,30,Thursday,4,2014-04,16.81,16.99,16.77,16.93,91028200,15.35,0.014987843,15.24428571,15.1635,undefined
1/31/2014,2014,1,31,Friday,4,2014-04,16.72,16.98,16.61,16.75,139432100,15.19,-0.010632022,15.24285714,15.1647619,undefined
2/3/2014,2014,2,3,Monday,5,2014-05,16.77,16.88,16.3,16.35,159981200,14.83,-0.023880462,15.23785714,15.14954545,undefined
2/4/2014,2014,2,4,Tuesday,5,2014-05,16.49,16.56,16.26,16.35,125337000,14.83,0,15.21071429,15.13565217,undefined
2/5/2014,2014,2,5,Wednesday,5,2014-05,16.31,16.45,16.15,16.4,110576200,14.87,0.00305807,15.16214286,15.12458333,undefined
2/6/2014,2014,2,6,Thursday,5,2014-05,16.45,16.73,16.44,16.69,110029100,15.14,0.017682988,15.13714286,15.1252,undefined
2/7/2014,2014,2,7,Friday,5,2014-05,16.82,16.88,16.63,16.82,122571100,15.25,0.007789072,15.12428571,15.13,undefined
2/10/2014,2014,2,10,Monday,6,2014-06,16.71,16.73,16.6,16.72,95792500,15.16,-0.005945425,15.105,15.13111111,undefined
2/11/2014,2014,2,11,Tuesday,6,2014-06,16.73,16.92,16.64,16.88,92617500,15.31,0.00956921,15.08785714,15.1375,undefined
2/12/2014,2014,2,12,Wednesday,6,2014-06,16.87,16.91,16.65,16.75,96948900,15.19,-0.007701277,15.08071429,15.13931034,undefined
2/13/2014,2014,2,13,Thursday,6,2014-06,16.65,16.82,16.63,16.75,95756900,15.19,0,15.1,15.141,undefined
2/14/2014,2014,2,14,Friday,6,2014-06,16.74,16.76,16.65,16.7,100684300,15.15,-0.002984916,15.12571429,15.14129032,undefined
2/18/2014,2014,2,18,Tuesday,7,2014-07,16.7,16.74,16.47,16.47,121778600,14.94,-0.013772869,15.10928571,15.135,undefined
2/19/2014,2014,2,19,Wednesday,7,2014-07,16.38,16.45,16.18,16.2,137734500,14.69,-0.016393268,15.07785714,15.12151515,undefined
2/20/2014,2014,2,20,Thursday,7,2014-07,16.22,16.36,16.18,16.3,107425900,14.78,0.006172902,15.03714286,15.11147059,undefined
2/21/2014,2014,2,21,Friday,7,2014-07,16.29,16.49,16.25,16.29,106236900,14.77,-0.000613361,15.00714286,15.10171429,undefined
2/24/2014,2014,2,24,Monday,8,2014-08,16.3,16.63,16.3,16.53,102909600,14.99,0.014732867,15.01857143,15.09861111,undefined
2/25/2014,2014,2,25,Tuesday,8,2014-08,16.5,16.56,16.32,16.34,81457000,14.82,-0.011494254,15.01785714,15.09108108,undefined
2/26/2014,2014,2,26,Wednesday,8,2014-08,16.36,16.4,16.13,16.33,89831600,14.81,-0.000611795,15.01357143,15.08368421,undefined
2/27/2014,2014,2,27,Thursday,8,2014-08,16.27,16.49,16.21,16.49,71314500,14.96,0.009797616,15.00071429,15.08051282,undefined
2/28/2014,2014,2,28,Friday,8,2014-08,16.49,16.65,16.35,16.53,126252100,14.99,0.002425814,14.98214286,15.07825,undefined
3/3/2014,2014,3,3,Monday,9,2014-09,16.3,16.41,16.19,16.3,87526800,14.78,-0.013914134,14.955,15.07097561,undefined
3/4/2014,2014,3,4,Tuesday,9,2014-09,16.48,16.74,16.43,16.73,100849900,15.17,0.026380339,14.945,15.07333333,undefined
3/5/2014,2014,3,5,Wednesday,9,2014-09,16.79,17.31,16.78,17.25,207180000,15.65,0.031698694,14.97785714,15.08674419,undefined
3/6/2014,2014,3,6,Thursday,9,2014-09,17.42,17.63,17.31,17.35,138078900,15.75,0.005796862,15.01785714,15.10181818,undefined
3/7/2014,2014,3,7,Friday,9,2014-09,17.54,17.59,17.25,17.33,109547100,15.73,-0.001152581,15.05928571,15.11577778,undefined
3/10/2014,2014,3,10,Monday,10,2014-10,17.27,17.47,17.25,17.47,81732700,15.85,0.008078653,15.12428571,15.13173913,undefined
3/11/2014,2014,3,11,Tuesday,10,2014-10,17.51,17.52,17.25,17.27,90183400,15.67,-0.011448446,15.19428571,15.14319149,undefined
