Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,00,2014-00,15.69,16.16,15.68,16.1,148709900.0,14.6,0.0,14.6,14.6
2014-01-03,2014,1,3,Friday,00,2014-00,16.27,16.5,16.23,16.41,129921800.0,14.88,0.01925444334438331,14.74,14.74
2014-01-06,2014,1,6,Monday,01,2014-01,16.63,16.73,16.56,16.66,114431300.0,15.11,0.015234766499033325,14.863333333333335,14.863333333333335
2014-01-07,2014,1,7,Tuesday,01,2014-01,16.77,16.79,16.45,16.5,110605100.0,14.96,-0.009604113549269266,14.887500000000001,14.887500000000001
2014-01-08,2014,1,8,Wednesday,01,2014-01,16.67,16.69,16.52,16.58,101036400.0,15.04,0.004848623505337546,14.918000000000001,14.918000000000001
2014-01-09,2014,1,9,Thursday,01,2014-01,16.67,16.93,16.61,16.83,100947200.0,15.26,0.015078242283475651,14.975000000000001,14.975000000000001
2014-01-10,2014,1,10,Friday,01,2014-01,16.75,16.79,16.61,16.77,87454100.0,15.21,-0.003565023854607996,15.008571428571429,15.008571428571429
2014-01-13,2014,1,13,Monday,02,2014-02,16.79,16.8,16.4,16.43,90025400.0,14.9,-0.02027414212158518,14.995000000000001,14.995000000000001
2014-01-14,2014,1,14,Tuesday,02,2014-02,16.54,16.77,16.53,16.77,97786600.0,15.21,0.02069368891159873,15.01888888888889,15.01888888888889
2014-01-15,2014,1,15,Wednesday,02,2014-02,17.23,17.42,17.11,17.15,329333100.0,15.55,0.022660017658150178,15.072000000000003,15.072000000000003
2014-01-16,2014,1,16,Thursday,02,2014-02,17.09,17.14,16.99,17.08,163613100.0,15.49,-0.004081954231909712,15.110000000000003,15.110000000000003
2014-01-17,2014,1,17,Friday,02,2014-02,17.2,17.22,16.99,17.01,96232200.0,15.43,-0.004098561747984175,15.13666666666667,15.13666666666667
