Year,Week_Number,mean_return,volatility,Label
2014,0,0.9625,1.361180554,undefined
2014,1,0.4398,1.108010244,undefined
2014,2,0.298,1.831310323,undefined
2014,3,-0.825,1.497657504,undefined
2014,4,0.3722,1.591267796,undefined
2014,5,0.093,1.539935064,undefined
2014,6,-0.1412,0.680420973,undefined
2014,7,-0.615,1.072995806,undefined
2014,8,0.2972,1.008893057,undefined
2014,9,0.9764,1.905627534,undefined
2014,10,-0.6142,1.114033752,undefined
2014,11,0.902,1.821999588,undefined
2014,12,-0.6686,0.454199075,undefined
2014,13,-0.299,1.483029669,undefined
2014,14,-1.1502,1.775709351,undefined
2014,15,0.60825,1.743142062,undefined
2014,16,-0.2416,1.356827108,undefined
2014,17,-0.8512,3.206112475,undefined
2014,18,-0.6712,1.322380127,undefined
2014,19,-0.3038,1.590071602,undefined
2014,20,0.2904,0.787582567,undefined
2014,21,0.71775,1.804100584,undefined
2014,22,0.5896,0.735625108,undefined
2014,23,-0.1848,1.42823447,undefined
2014,24,0.032,1.232558721,undefined
2014,25,-0.153,0.829470012,undefined
2014,26,1.124,0.609025998,undefined
2014,27,-0.8212,0.903025304,undefined
2014,28,0.1574,1.937453303,undefined
2014,29,0.1292,0.318501491,undefined
2014,30,-0.7866,1.447052625,undefined
2014,31,0.2942,0.746483556,undefined
2014,32,0.027,0.425556694,undefined
2014,33,1.1804,1.77225712,undefined
2014,34,-0.0462,0.90739363,undefined
2014,35,-0.0295,0.839167246,undefined
2014,36,0.9502,1.28917268,undefined
2014,37,0.1928,0.856555719,undefined
2014,38,0.0996,1.183044927,undefined
2014,39,0.311,1.363139758,undefined
2014,40,-0.9416,1.819028395,undefined
2014,41,-0.303,2.561531183,undefined
2014,42,0.6274,1.220875219,undefined
2014,43,0.5234,0.829888125,undefined
2014,44,0.2328,0.45922783,undefined
2014,45,-0.2546,0.207594075,undefined
2014,46,-0.0224,0.502253223,undefined
2014,47,-0.1165,0.389926916,undefined
2014,48,0.8112,1.758241223,undefined
2014,49,-0.6264,0.932349881,undefined
2014,50,0.58,1.918943329,undefined
2014,51,0.508,0.532062026,undefined
2014,52,-0.163666667,1.050581902,undefined
2015,0,0.056,0,undefined
2015,1,-1.03,2.224548831,undefined
2015,2,-1.9382,2.30645414,undefined
2015,3,0.59475,2.865805108,undefined
2015,4,-0.7356,1.799622961,undefined
2015,5,1.7188,1.536675535,undefined
2015,6,0.1498,1.077686736,undefined
2015,7,-0.34175,1.276530291,undefined
2015,8,-0.6958,1.579304815,undefined
2015,9,0.5798,0.967590151,undefined
2015,10,-0.151,1.551407748,undefined
2015,11,-0.305,1.383400701,undefined
2015,12,-0.6774,0.480563523,undefined
2015,13,0.377,0.956616956,undefined
2015,14,0.232,0.554005866,undefined
2015,15,-0.2,1.050331376,undefined
2015,16,0.105,0.82925569,undefined
2015,17,0.5984,1.075705025,undefined
2015,18,0.424,1.172115609,undefined
2015,19,-0.1206,0.576439329,undefined
2015,20,0.487,0.758825079,undefined
2015,21,-0.369,1.293129795,undefined
2015,22,0.8894,1.262757023,undefined
2015,23,0.3514,1.066202045,undefined
2015,24,-0.3664,0.718821814,undefined
2015,25,0.2834,1.175086507,undefined
2015,26,-0.53625,1.911547955,undefined
2015,27,-0.378,1.766061013,undefined
2015,28,1.6272,1.023550048,undefined
2015,29,-0.2134,1.46044079,undefined
2015,30,-0.015,1.364062499,undefined
2015,31,-0.1452,0.413002663,undefined
2015,32,-0.049,1.361564174,undefined
2015,33,-1.8602,2.028343709,undefined
2015,34,0.3788,3.806100984,undefined
2015,35,-0.7926,2.568302805,undefined
2015,36,0.63275,2.03179992,undefined
2015,37,-0.5906,1.948838449,undefined
2015,38,0.4282,1.365440112,undefined
2015,39,-0.6414,1.500546334,undefined
2015,40,0.2638,1.120989384,undefined
2015,41,0.6946,1.649948575,undefined
2015,42,0.5014,1.57827938,undefined
2015,43,0.345,2.878658715,undefined
2015,44,1.3686,1.708365096,undefined
